sku,marca,descripcion,monto_total,unidades_totales,meses_con_venta,monto_acum,pct_acum,categoria_abc
739-120-035-000,CONDOR,POLEA DE RESCATE SIMPLE CON MOSQUETON 4t,41921221,204,12,41921221,0.07637643114051425,A
739-110-014-000,CONDOR,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 4t,39622271,221,11,81543492,0.14856439657840773,A
424-100-010-010,CONDOR,CINTA PLANA EE2-601 X 1m TIPO 3,18411483,3675,16,99954975,0.1821083471122972,A
541-120-005-030,CONDOR,CINTA TUBULAR EE 5t X 3m,12204912,232,8,112159887,0.2043445224599579,A
271-190-040-000,CONDOR,ANCLAJE SOLDABLE 8t,11643878,382,9,123803765,0.2255585478404579,A
739-110-015-000,CONDOR,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 5t,11078243,43,6,134882008,0.24574204067449018,A
901-170-060-000,CONDOR,WINCHE DE PALANCA 6t,8733433,31,8,154684901,0.28182100635150303,A
739-120-020-000,CONDOR,POLEA DE RESCATE SIMPLE CON MOSQUETON 2t,8307389,108,12,162992290,0.29695626979995954,A
541-120-003-020,CONDOR,CINTA TUBULAR EE 3t X 2m,7405061,330,9,170397351,0.3104475784514372,A
613-460-080-000,CONDOR,MOSQUETON DE SEGURO GIRATORIO G8 16mm,7056338,30,12,177453689,0.32330354734989064,A
271-190-030-000,CONDOR,"ANCLAJE SOLDABLE 5,3t",6038172,327,14,190416496,0.34692053446539656,A
910-100-030-000,CONDOR,TENSOR CHICHARRA 1/2 - 5/8,5593872,132,7,196010368,0.3571120310255004,A
613-460-100-000,CONDOR,MOSQUETON DE SEGURO GIRATORIO G8 20mm,5267598,14,8,201277966,0.3667090877506113,A
424-100-020-060,CONDOR,CINTA PLANA EE2-602 X 6m TIPO 3,4874975,260,17,211229287,0.384839437129358,A
739-120-030-000,CONDOR,POLEA DE RESCATE SIMPLE CON MOSQUETON 3t,4837522,23,11,216066809,0.39365293676296176,A
262-170-070-000,CONDOR,CUERDA G8 TRENZADO CORTO 13mm,4801276.806451613,247,6,220868085.80645162,0.40240040114131326,A
264-290-100-000,CONDOR,CRAMPON 10 PUNTAS CON ANTIBOTAS 2828 ALLOY STEEL,4475410,71,9,225343495.80645162,0.4105541675521382,A
928-110-040-000,CONDOR,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 9m,4253391,412,14,233897888.80645162,0.4261394485226852,A
910-100-020-000,CONDOR,TENSOR CHICHARRA 3/8 - 1/2,4251503,150,8,238149391.80645162,0.4338852779231025,A
397-490-040-060,CONDOR,CINTA G8 QOSH4A 13mm X 6m,4250021,5,5,242399412.80645162,0.4416284072621129,A
264-290-180-000,CONDOR,CRAMPON 10 PUNTAS CON ANTIBOTAS 2851 ALLOY STEEL,4056245,38,5,246455657.80645162,0.44901849537361027,A
541-120-004-015,CONDOR,"CINTA TUBULAR EE 4t X 1,5m",3665673,140,5,272928085.8064516,0.4972487120999843,A
901-170-030-000,CONDOR,"WINCHE DE PALANCA 1,5t",3566611,26,12,280071159.8064516,0.5102627056449862,A
264-240-160-000,CONDOR,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4851 ALLOY STEEL,3541564,13.5,5,283612723.8064516,0.5167150944953902,A
424-100-020-020,CONDOR,CINTA PLANA EE2-602 X 2m TIPO 3,3264444,421,17,290387788.8064516,0.5290586110510032,A
433-100-020-010,CONDOR,CINTA PLANA EE3-602 X 1m TIPO 3,3037963,283,14,296507780.8064516,0.5402086476295775,A
613-200-060-000,CONDOR,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 13mm,3007261,185,9,299515041.8064516,0.5456875878228522,A
631-130-080-000,CONDOR,CONECTOR RAPIDO OVALADO ROSCADO 5/8,2871888,625,17,305308113.8064516,0.5562420076165897,A
424-100-020-040,CONDOR,CINTA PLANA EE2-602 X 4m TIPO 3,2796864,205,16,308104977.8064516,0.5613376247195692,A
901-140-020-000,CONDOR,WINCHE MANUAL 1t,2541451,28,10,318677291.8064516,0.5805993635944195,A
541-120-002-035,CONDOR,"CINTA TUBULAR EE 2t X 3,5m",2470658,91,4,321147949.8064516,0.5851006647518635,A
433-100-030-080,CONDOR,CINTA PLANA EE3-603 X 8m TIPO 3,2432072,48,8,323580021.8064516,0.5895316659299249,A
424-100-020-015,CONDOR,"CINTA PLANA EE2-602 X 1,5m TIPO 3",2397972,302,14,325977993.8064516,0.5939005401889756,A
901-140-010-000,CONDOR,"WINCHE MANUAL 0,5t",2294298,27,9,330602813.8064516,0.6023265172440637,A
901-140-050-000,CONDOR,WINCHE MANUAL 3t,2290261,15,6,332893074.8064516,0.6064991524247113,A
901-170-070-000,CONDOR,WINCHE DE PALANCA 9t,2267033,4,4,335160107.8064516,0.6106294684242805,A
631-130-140-000,CONDOR,CONECTOR RAPIDO OVALADO ROSCADO 1,2214946,161,15,337375053.8064516,0.6146648869214888,A
433-100-020-020,CONDOR,CINTA PLANA EE3-602 X 2m TIPO 3,2176060,167,16,339551113.8064516,0.6186294588681797,A
694-190-020-000,CONDOR,ANCLA VERTICAL ARTICULADA 2t,2113696,19,4,345982537.8064516,0.6303468945857951,A
901-170-025-000,CONDOR,WINCHE DE PALANCA 1t,1942004,18,8,356147265.8064516,0.6488660509852248,A
442-100-040-060,CONDOR,CINTA PLANA EE4-604 X 6m TIPO 3,1939944,18,8,358087209.8064516,0.6524004422982177,A
433-100-020-060,CONDOR,CINTA PLANA EE3-602 X 6m CON PROTECCION TUBULAR,1888705,57,9,363814336.8064516,0.6628347166469652,A
901-170-020-000,CONDOR,"WINCHE DE PALANCA 0,75t",1840263,22,9,365654599.8064516,0.6661874987689349,A
271-190-020-000,CONDOR,ANCLAJE SOLDABLE 3t,1792977,182,10,367447576.8064516,0.6694541303486072,A
433-100-020-080,CONDOR,CINTA PLANA EE3-602 X 8m TIPO 3,1767827,48,6,371003196.8064516,0.6759321278785894,A
901-140-040-000,CONDOR,WINCHE MANUAL 2t,1747305,14,6,374514309.8064516,0.6823290379368881,A
334-100-030-000,CONDOR,CONECTOR GIRATORIO G8 8mm,1713155,291,10,376227464.8064516,0.6854502415127699,A
631-130-100-000,CONDOR,CONECTOR RAPIDO OVALADO ROSCADO 3/4,1622649,203,15,379480911.8064516,0.6913777089108405,A
433-100-020-015,CONDOR,"CINTA PLANA EE3-602 X 1,5m TIPO 3",1622288,114,11,381103199.8064516,0.694333361555645,A
739-110-012-000,CONDOR,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 2t,1509574,16,7,384169188.8064516,0.6999192985143055,A
613-450-040-000,CONDOR,MOSQUETON DE SEGURO CONECTOR G8 10mm,1484477,51,10,388646245.8064516,0.7080760656006615,A
424-100-020-010,CONDOR,CINTA PLANA EE2-602 X 1m TIPO 3,1456721,202,15,390102966.8064516,0.7107300711017761,A
